	BLASTX_swissprot
TRINITY_DN6089_c1_g2	.
TRINITY_DN8448_c6_g1	.
TRINITY_DN6354_c1_g1	.
TRINITY_DN8723_c2_g2	.
TRINITY_DN9040_c3_g1	.
TRINITY_DN9468_c9_g2	.
TRINITY_DN8356_c1_g2	.
TRINITY_DN10112_c0_g1	"RGA3_SOLBU^RGA3_SOLBU^Q:160-468,H:7-105^33.01%ID^E:7.67e-10^RecName: Full=Putative disease resistance protein RGA3;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum"
TRINITY_DN8997_c7_g1	.
TRINITY_DN8708_c1_g1	.
TRINITY_DN16274_c0_g1	"BAHD1_ARATH^BAHD1_ARATH^Q:110-379,H:345-433^35.87%ID^E:1.1e-11^RecName: Full=BAHD acyltransferase At5g47980;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6059_c2_g1	.
TRINITY_DN5958_c3_g2	"CRK35_ARATH^CRK35_ARATH^Q:2-187,H:370-431^88.71%ID^E:3.58e-32^RecName: Full=Putative cysteine-rich receptor-like protein kinase 35;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6700_c0_g2	.
TRINITY_DN9572_c6_g1	"GDL14_ARATH^GDL14_ARATH^Q:27-1106,H:1-364^48.767%ID^E:7.77e-122^RecName: Full=GDSL esterase/lipase At1g29660 {ECO:0000303|PubMed:18819574};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7409_c3_g2	"2SS2_BEREX^2SS2_BEREX^Q:436-197,H:63-147^39.535%ID^E:1.26e-08^RecName: Full=2S sulfur-rich seed storage protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; Ericales; Lecythidaceae; Bertholletia"
TRINITY_DN9016_c4_g2	"DGAT3_ARATH^DGAT3_ARATH^Q:1194-1466,H:186-273^59.783%ID^E:1.3e-27^RecName: Full=Diacylglycerol O-acyltransferase 3, cytosolic {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8329_c0_g2	.
TRINITY_DN7530_c3_g1	.
TRINITY_DN7676_c3_g1	"NCED1_PHAVU^NCED1_PHAVU^Q:10-1254,H:204-615^81.446%ID^E:0^RecName: Full=9-cis-epoxycarotenoid dioxygenase NCED1, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Phaseoleae; Phaseolus"
TRINITY_DN5499_c2_g2	.
TRINITY_DN4294_c0_g1	.
TRINITY_DN9267_c4_g2	"BSP_BOSSE^BSP_BOSSE^Q:544-717,H:18-59^55.172%ID^E:3.2e-11^RecName: Full=Basic secretory protease {ECO:0000303|PubMed:22773449};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Sapindales; Burseraceae; Boswellia"
TRINITY_DN5547_c0_g1	"C76C1_ARATH^C76C1_ARATH^Q:1268-246,H:140-486^44.092%ID^E:7.24e-98^RecName: Full=Cytochrome P450 76C1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`C76C1_ARATH^C76C1_ARATH^Q:1533-1273,H:50-137^40.909%ID^E:7.24e-98^RecName: Full=Cytochrome P450 76C1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`C76C1_ARATH^C76C1_ARATH^Q:246-190,H:485-503^57.895%ID^E:7.24e-98^RecName: Full=Cytochrome P450 76C1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8632_c2_g3	.
TRINITY_DN9488_c0_g1	"ASMT_ARATH^ASMT_ARATH^Q:49-1077,H:23-380^54.571%ID^E:9.82e-120^RecName: Full=Acetylserotonin O-methyltransferase {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8213_c0_g1	"TKPR2_ARATH^TKPR2_ARATH^Q:21-980,H:1-321^70.093%ID^E:3.38e-177^RecName: Full=Tetraketide alpha-pyrone reductase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9884_c0_g1	.
TRINITY_DN7391_c6_g2	"PHT21_ARATH^PHT21_ARATH^Q:999-196,H:323-587^80.22%ID^E:3.65e-131^RecName: Full=Inorganic phosphate transporter 2-1, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9429_c2_g1	"GIGAN_ARATH^GIGAN_ARATH^Q:357-1,H:4-122^77.311%ID^E:2.65e-56^RecName: Full=Protein GIGANTEA;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5177_c0_g1	"SBT18_ARATH^SBT18_ARATH^Q:73-2016,H:101-747^43.873%ID^E:7.87e-165^RecName: Full=Subtilisin-like protease SBT1.8 {ECO:0000303|PubMed:16193095};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9167_c3_g3	"PRS2_SOLTU^PRS2_SOLTU^Q:80-562,H:1-155^58.642%ID^E:1.42e-52^RecName: Full=Pathogenesis-related protein STH-2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Solanales; Solanaceae; Solanoideae; Solaneae; Solanum"
TRINITY_DN6644_c1_g1	.
TRINITY_DN9304_c7_g1	"LIMYB_ARATH^LIMYB_ARATH^Q:373-678,H:4-100^30.392%ID^E:4.31e-09^RecName: Full=L10-interacting MYB domain-containing protein {ECO:0000303|PubMed:25707794};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7489_c3_g2	"XTH7_ARATH^XTH7_ARATH^Q:354-1226,H:1-293^71.672%ID^E:2.74e-162^RecName: Full=Probable xyloglucan endotransglucosylase/hydrolase protein 7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5608_c0_g1	"WTR37_ARATH^WTR37_ARATH^Q:57-1103,H:1-360^50.689%ID^E:3.56e-116^RecName: Full=WAT1-related protein At4g30420;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9636_c4_g1	"CXXS1_ARATH^CXXS1_ARATH^Q:76-402,H:2-110^69.725%ID^E:2.65e-53^RecName: Full=Thioredoxin-like protein CXXS1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN2715_c0_g1	"Y2988_ARATH^Y2988_ARATH^Q:854-567,H:53-153^30.693%ID^E:7.78e-07^RecName: Full=Uncharacterized protein At2g29880;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN1302_c0_g1	.
TRINITY_DN4388_c0_g1	.
TRINITY_DN6919_c2_g2	.
TRINITY_DN6755_c2_g1	.
TRINITY_DN9036_c2_g1	.
TRINITY_DN5001_c0_g1	.
TRINITY_DN8272_c2_g2	.
TRINITY_DN14977_c0_g1	.
TRINITY_DN9691_c8_g1	"E137_ARATH^E137_ARATH^Q:1-240,H:316-388^55%ID^E:6.47e-19^RecName: Full=Glucan endo-1,3-beta-glucosidase 7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN784_c0_g1	.
TRINITY_DN6940_c1_g1	"RH41_ARATH^RH41_ARATH^Q:220-468,H:14-84^50%ID^E:2.38e-19^RecName: Full=DEAD-box ATP-dependent RNA helicase 41;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7259_c2_g1	.
TRINITY_DN9822_c1_g1	.
TRINITY_DN9352_c3_g1	"RL40_BRARP^RL40_BRARP^Q:148-363,H:1-72^98.611%ID^E:7.48e-46^RecName: Full=Ubiquitin-60S ribosomal protein L40;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Brassiceae; Brassica"
TRINITY_DN5694_c1_g1	"UBC35_ARATH^UBC35_ARATH^Q:366-193,H:1-58^86.207%ID^E:3.71e-29^RecName: Full=Ubiquitin-conjugating enzyme E2 35;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4949_c0_g1	.
TRINITY_DN7499_c3_g2	"CAR7_ARATH^CAR7_ARATH^Q:668-228,H:8-164^61.146%ID^E:1.8e-60^RecName: Full=Protein C2-DOMAIN ABA-RELATED 7 {ECO:0000303|PubMed:25465408};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5912_c2_g1	.
TRINITY_DN7565_c4_g1	"VINSY_RAUSE^VINSY_RAUSE^Q:754-47,H:27-262^35.391%ID^E:8.38e-38^RecName: Full=Vinorine synthase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Rauvolfiinae; Rauvolfia"
TRINITY_DN7786_c3_g1	"GSOX5_ARATH^GSOX5_ARATH^Q:1258-185,H:27-391^56.712%ID^E:3.51e-139^RecName: Full=Flavin-containing monooxygenase FMO GS-OX5;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8596_c3_g2	"IDD11_ARATH^IDD11_ARATH^Q:337-687,H:17-135^68.067%ID^E:6.83e-42^RecName: Full=Protein indeterminate-domain 11 {ECO:0000303|PubMed:16784536};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN3518_c0_g1	.
TRINITY_DN1903_c0_g1	"KTI2_ARATH^KTI2_ARATH^Q:526-2,H:29-193^47.159%ID^E:1.19e-44^RecName: Full=Kunitz trypsin inhibitor 2 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8214_c2_g1	"DIR21_ARATH^DIR21_ARATH^Q:512-57,H:39-189^47.368%ID^E:2.01e-45^RecName: Full=Dirigent protein 21;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8809_c3_g1	"LAC7_ARATH^LAC7_ARATH^Q:158-1738,H:25-550^63.039%ID^E:0^RecName: Full=Laccase-7;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7253_c2_g1	.
TRINITY_DN6518_c0_g1	"RGLG2_ARATH^RGLG2_ARATH^Q:235-110,H:427-468^66.667%ID^E:2.3e-12^RecName: Full=E3 ubiquitin-protein ligase RGLG2 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`RGLG2_ARATH^RGLG2_ARATH^Q:533-408,H:318-359^59.524%ID^E:5.18e-06^RecName: Full=E3 ubiquitin-protein ligase RGLG2 {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5411_c1_g1	"PER2_ARAHY^PER2_ARAHY^Q:93-647,H:7-185^70.811%ID^E:7.93e-88^RecName: Full=Cationic peroxidase 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Dalbergieae; Arachis"
TRINITY_DN5724_c3_g3	.
TRINITY_DN6776_c4_g1	.
TRINITY_DN5472_c0_g1	"PP307_ARATH^PP307_ARATH^Q:439-2301,H:454-1063^37.359%ID^E:5.83e-148^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:406-1746,H:241-674^28.889%ID^E:2.2e-58^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:397-1722,H:137-565^29.754%ID^E:7.87e-58^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:349-1737,H:319-772^26.923%ID^E:1.93e-51^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:532-1842,H:79-540^28.964%ID^E:1.24e-47^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:415-1125,H:648-886^25.941%ID^E:1.18e-23^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis`PP307_ARATH^PP307_ARATH^Q:275-403,H:601-643^32.558%ID^E:1.18e-23^RecName: Full=Pentatricopeptide repeat-containing protein At4g13650;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9319_c1_g1	"SCP25_ARATH^SCP25_ARATH^Q:1719-274,H:1-473^73.101%ID^E:0^RecName: Full=Serine carboxypeptidase-like 25;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN8206_c1_g3	"EFTM_ARATH^EFTM_ARATH^Q:161-1498,H:1-453^81.718%ID^E:0^RecName: Full=Elongation factor Tu, mitochondrial;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN5957_c1_g2	"APR1_ARATH^APR1_ARATH^Q:232-1551,H:29-465^76.644%ID^E:0^RecName: Full=5'-adenylylsulfate reductase 1, chloroplastic;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7624_c2_g1	.
TRINITY_DN8746_c0_g1	.
TRINITY_DN9669_c3_g1	"RIPK_ARATH^RIPK_ARATH^Q:31-1170,H:1-389^71.722%ID^E:0^RecName: Full=Serine/threonine-protein kinase RIPK {ECO:0000305};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7273_c0_g1	"UGT2_GARJA^UGT2_GARJA^Q:1269-7,H:41-460^60.993%ID^E:0^RecName: Full=7-deoxyloganetin glucosyltransferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Rubiaceae; Ixoroideae; Gardenieae complex; Gardenieae - Pavetteae clade; Gardenieae; Gardenia"
TRINITY_DN8968_c5_g1	"RIP2_ORYSJ^RIP2_ORYSJ^Q:183-665,H:39-192^55.28%ID^E:3.81e-52^RecName: Full=Putative ripening-related protein 2;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; BOP clade; Oryzoideae; Oryzeae; Oryzinae; Oryza; Oryza sativa"
TRINITY_DN8124_c4_g1	"LHY_ARATH^LHY_ARATH^Q:405-1598,H:1-308^41.646%ID^E:1.04e-56^RecName: Full=Protein LHY {ECO:0000303|PubMed:9657154};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN6857_c3_g1	.
TRINITY_DN6531_c1_g1	.
TRINITY_DN9499_c3_g1	.
TRINITY_DN15602_c0_g1	.
TRINITY_DN5981_c3_g7	"DAT_CATRO^DAT_CATRO^Q:70-219,H:366-417^42.308%ID^E:2.15e-07^RecName: Full=Deacetylvindoline O-acetyltransferase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Gentianales; Apocynaceae; Rauvolfioideae; Vinceae; Catharanthinae; Catharanthus"
TRINITY_DN12407_c0_g1	"FLA11_ARATH^FLA11_ARATH^Q:78-524,H:36-185^61.333%ID^E:2.35e-55^RecName: Full=Fasciclin-like arabinogalactan protein 11;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9372_c4_g2	.
TRINITY_DN9891_c0_g1	"M310_ARATH^M310_ARATH^Q:1528-1328,H:81-147^32.836%ID^E:3.26e-07^RecName: Full=Uncharacterized mitochondrial protein AtMg00310;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9472_c4_g1	.
TRINITY_DN7165_c0_g1	.
TRINITY_DN9553_c6_g1	.
TRINITY_DN8583_c0_g1	.
TRINITY_DN13621_c0_g1	"RLA1_MAIZE^RLA1_MAIZE^Q:82-264,H:1-61^63.934%ID^E:1.48e-21^RecName: Full=60S acidic ribosomal protein P1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; Liliopsida; Poales; Poaceae; PACMAD clade; Panicoideae; Andropogonodae; Andropogoneae; Tripsacinae; Zea"
TRINITY_DN3442_c0_g1	"M310_ARATH^M310_ARATH^Q:17-322,H:42-144^38.835%ID^E:4.29e-16^RecName: Full=Uncharacterized mitochondrial protein AtMg00310;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7576_c2_g1	"MTDH_FRAAN^MTDH_FRAAN^Q:317-3,H:137-246^76.364%ID^E:1.92e-40^RecName: Full=Probable mannitol dehydrogenase;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Rosaceae; Rosoideae; Potentilleae; Fragariinae; Fragaria"
TRINITY_DN14913_c0_g1	"BAHD1_ARATH^BAHD1_ARATH^Q:1-636,H:95-294^30.804%ID^E:1.32e-16^RecName: Full=BAHD acyltransferase At5g47980;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN9103_c6_g3	"PID_ARATH^PID_ARATH^Q:246-674,H:36-183^58.94%ID^E:2.78e-44^RecName: Full=Protein kinase PINOID;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN10852_c0_g1	.
TRINITY_DN6830_c4_g1	.
TRINITY_DN1261_c0_g1	.
TRINITY_DN12438_c0_g1	.
TRINITY_DN8712_c1_g1	"ALB2_LATSA^ALB2_LATSA^Q:401-823,H:5-144^60.284%ID^E:3e-53^RecName: Full=Albumin-2 {ECO:0000250|UniProtKB:P08688};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Fabeae; Lathyrus`ALB2_LATSA^ALB2_LATSA^Q:296-736,H:85-225^31.757%ID^E:3.41e-12^RecName: Full=Albumin-2 {ECO:0000250|UniProtKB:P08688};^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fabales; Fabaceae; Papilionoideae; Fabeae; Lathyrus"
TRINITY_DN7087_c1_g3	.
TRINITY_DN9776_c1_g1	.
TRINITY_DN6424_c1_g2	"RAV1_ARATH^RAV1_ARATH^Q:1178-84,H:1-343^62.162%ID^E:1.2e-140^RecName: Full=AP2/ERF and B3 domain-containing transcription factor RAV1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN7762_c3_g3	.
TRINITY_DN6476_c1_g1	"ACCH1_ARATH^ACCH1_ARATH^Q:214-900,H:12-240^56.769%ID^E:7.18e-84^RecName: Full=1-aminocyclopropane-1-carboxylate oxidase homolog 1;^Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; malvids; Brassicales; Brassicaceae; Camelineae; Arabidopsis"
TRINITY_DN4288_c0_g1	.
